"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tb927.6.1520",6.21737664171747e-139,0.593488547409149,0.919,0.791,5.34010479757113e-135,"ZC3H36_EP_hi_GPEET_mid","Tb927.6.1520"
"Tb927.10.12760",3.58909806756416e-110,0.94590858132504,0.553,0.35,3.08267633023086e-106,"ZC3H36_EP_hi_GPEET_mid","Tb927.10.12760"
"Tb927.10.12850",8.64432966812102e-100,0.501662123339837,0.884,0.782,7.42461475194915e-96,"ZC3H36_EP_hi_GPEET_mid","Tb927.10.12850"
"Tb927.10.2250",2.6745834322543e-64,0.879022321244289,0.38,0.232,2.29719970996322e-60,"ZC3H36_EP_hi_GPEET_mid","Tb927.10.2250"
"Tb927.3.4500",6.09437274136819e-44,0.586879004039197,0.552,0.434,5.23445674756114e-40,"ZC3H36_EP_hi_GPEET_mid","Tb927.3.4500"
"Tb927.10.12750",9.57856220892151e-41,0.947738414583189,0.23,0.131,8.22702708124268e-37,"ZC3H36_EP_hi_GPEET_mid","Tb927.10.12750"
"Tb927.11.1280",1.47657882617401e-38,0.645624671065535,0.373,0.261,1.26823355380085e-34,"ZC3H36_EP_hi_GPEET_mid","Tb927.11.1280"
"Tb927.11.5090",1.52843783265024e-35,0.583198678036742,0.414,0.3,1.31277525446329e-31,"ZC3H36_EP_hi_GPEET_mid","Tb927.11.5090"
"Tb927.7.5970",5.13599124821564e-27,0.62365232447273,0.265,0.176,4.41130288309241e-23,"ZC3H36_EP_hi_GPEET_mid","Tb927.7.5970"
"Tb927.8.6340",1.22821600795135e-25,0.528167517996327,0.303,0.213,1.05491472922941e-21,"ZC3H36_EP_hi_GPEET_mid","Tb927.8.6340"
"Tb927.5.4020",1.5282310765364e-23,0.50155616967167,0.362,0.27,1.31259767163711e-19,"ZC3H36_EP_hi_GPEET_mid","Tb927.5.4020"
"Tb927.2.2140",3.3598853892311e-23,0.551027423171413,0.343,0.259,2.8858055608106e-19,"ZC3H36_EP_hi_GPEET_mid","Tb927.2.2140"
"Tb927.10.810",1.09784175825086e-17,0.580642868098086,0.229,0.163,9.42936286161659e-14,"ZC3H36_EP_hi_GPEET_mid","Tb927.10.810"
"Tb11.v5.0671",4.24456679747079e-17,0.663214771959002,0.191,0.131,3.64565842234766e-13,"ZC3H36_EP_hi_GPEET_mid","Tb11.v5.0671"
"Tb11.v5.0622",2.22473733556601e-15,0.717020380038297,0.128,0.081,1.91082689751764e-11,"ZC3H36_EP_hi_GPEET_mid","Tb11.v5.0622"
"Tb927.7.1790",8.55282393305425e-13,0.517885240022733,0.198,0.145,7.34602047610029e-09,"ZC3H36_EP_hi_GPEET_mid","Tb927.7.1790"
"Tb927.3.2630",1.37687767533996e-10,0.508275036247763,0.183,0.137,1.1826002353495e-06,"ZC3H36_EP_hi_GPEET_mid","Tb927.3.2630"
"Tb927.7.5990",3.90329223370363e-10,0.565043169514178,0.113,0.076,3.35253769952805e-06,"ZC3H36_EP_hi_GPEET_mid","Tb927.7.5990"
"Tb11.v5.0505",6.88728818681489e-10,0.616325892767295,0.114,0.078,5.91549182365531e-06,"ZC3H36_EP_hi_GPEET_mid","Tb11.v5.0505"
"Tb927.11.2750",9.97299932754724e-10,0.500561235627027,0.149,0.108,8.56580912243033e-06,"ZC3H36_EP_hi_GPEET_mid","Tb927.11.2750"
"Tb927.11.15540",5.10494091159942e-09,0.628672978244747,0.087,0.057,4.38463374897274e-05,"ZC3H36_EP_hi_GPEET_mid","Tb927.11.15540"
"Tb927.6.1960",4.1556500405323e-08,0.582977997848983,0.082,0.054,0.000356928781981319,"ZC3H36_EP_hi_GPEET_mid","Tb927.6.1960"
"Tb11.v5.0726",4.42711798024794e-07,0.510499721873479,0.12,0.09,0.00380245163323496,"ZC3H36_EP_hi_GPEET_mid","Tb11.v5.0726"
"Tb927.6.2830",5.82027225969371e-07,0.528246512811189,0.099,0.071,0.00499903184385093,"ZC3H36_EP_hi_GPEET_mid","Tb927.6.2830"
"Tb927.11.13390",1.1708426919701e-06,0.501179924013422,0.093,0.066,0.0100563678813312,"ZC3H36_EP_hi_GPEET_mid","Tb927.11.13390"
"Tb927.6.4050",1.43948006301279e-06,0.555402275389441,0.072,0.049,0.0123636942612168,"ZC3H36_EP_hi_GPEET_mid","Tb927.6.4050"
"Tb927.9.6910",2.35893860297624e-06,0.515324558795353,0.109,0.082,0.020260923660963,"ZC3H36_EP_hi_GPEET_mid","Tb927.9.6910"
"Tb927.1.90",7.99795768252918e-73,1.06211250464179,0.356,0.189,6.86944585352432e-69,"RHS_EP_hi_GPEET_mid","Tb927.1.90"
"Tb927.1.70",4.48077565936436e-72,1.05604560724443,0.358,0.188,3.84853821382804e-68,"RHS_EP_hi_GPEET_mid","Tb927.1.70"
"Tb927.2.1130",1.22857463340842e-59,0.873543180015064,0.392,0.231,1.05522275263449e-55,"RHS_EP_hi_GPEET_mid","Tb927.2.1130"
"Tb927.6.5160",5.21300574110886e-57,0.847936008401011,0.36,0.206,4.4774506310384e-53,"RHS_EP_hi_GPEET_mid","Tb927.6.5160"
"Tb927.11.15100",1.36760686981071e-56,0.536413277602271,0.708,0.567,1.17463754048042e-52,"RHS_EP_hi_GPEET_mid","Tb927.11.15100"
"Tb927.11.8470",1.58628775344128e-48,0.65456971012437,0.506,0.358,1.36246255143072e-44,"RHS_EP_hi_GPEET_mid","Tb927.11.8470"
"Tb927.8.6660",1.20589542093204e-44,0.591621791168188,0.572,0.432,1.03574357703853e-40,"RHS_EP_hi_GPEET_mid","Tb927.8.6660"
"Tb927.2.240",5.42239108645921e-44,1.31125187117896,0.145,0.059,4.65729170415981e-40,"RHS_EP_hi_GPEET_mid","Tb927.2.240"
"Tb927.10.13430",3.20695273287101e-36,0.635394351128666,0.419,0.284,2.75445170226291e-32,"RHS_EP_hi_GPEET_mid","Tb927.10.13430"
"Tb11.v5.0366",2.76944326628002e-35,0.606881427162074,0.476,0.348,2.37867482140791e-31,"RHS_EP_hi_GPEET_mid","Tb11.v5.0366"
"Tb927.2.1180",6.16677480466796e-35,0.824758486235332,0.267,0.159,5.29664287972931e-31,"RHS_EP_hi_GPEET_mid","Tb927.2.1180"
"Tb927.4.300",1.20905944869998e-29,0.814839079789944,0.202,0.113,1.03846116048841e-25,"RHS_EP_hi_GPEET_mid","Tb927.4.300"
"Tb927.6.150",4.49815278506137e-29,0.7514145922691,0.271,0.172,3.86346342708921e-25,"RHS_EP_hi_GPEET_mid","Tb927.6.150"
"Tb11.v5.0567",1.11180550109848e-28,0.708931535171849,0.264,0.165,9.54929744893488e-25,"RHS_EP_hi_GPEET_mid","Tb11.v5.0567"
"Tb927.1.410",5.28824053442499e-28,0.82600149543207,0.212,0.124,4.54206979501763e-24,"RHS_EP_hi_GPEET_mid","Tb927.1.410"
"Tb927.4.240",3.2535605369927e-24,1.04332162964502,0.126,0.064,2.79448314522303e-20,"RHS_EP_hi_GPEET_mid","Tb927.4.240"
"Tb927.4.250",6.87832721066191e-23,1.13575912323569,0.088,0.038,5.90779524123752e-19,"RHS_EP_hi_GPEET_mid","Tb927.4.250"
"Tb927.10.5880",3.5050283528614e-22,0.520705065567954,0.403,0.306,3.01046885227265e-18,"RHS_EP_hi_GPEET_mid","Tb927.10.5880"
"Tb927.11.15960",3.80947743480197e-20,0.57087110991291,0.246,0.163,3.27196016875142e-16,"RHS_EP_hi_GPEET_mid","Tb927.11.15960"
"Tb927.6.520",7.66640955595296e-20,0.609640770060105,0.242,0.162,6.584679167608e-16,"RHS_EP_hi_GPEET_mid","Tb927.6.520"
"Tb927.8.5010",3.69221770773214e-19,0.751436606865401,0.159,0.095,3.17124578917113e-15,"RHS_EP_hi_GPEET_mid","Tb927.8.5010"
"Tb927.2.490",6.32614489425531e-18,0.649443237823552,0.22,0.147,5.43352584967588e-14,"RHS_EP_hi_GPEET_mid","Tb927.2.490"
"Tb927.6.220",1.48758099444961e-17,0.724938677884232,0.168,0.105,1.27768331613277e-13,"RHS_EP_hi_GPEET_mid","Tb927.6.220"
"Tb927.2.270",3.47116403998231e-17,0.50986077207622,0.247,0.17,2.98138279394081e-13,"RHS_EP_hi_GPEET_mid","Tb927.2.270"
"Tb927.7.2020",2.81976745099315e-16,1.23020716356751,0.054,0.022,2.42189826365802e-12,"RHS_EP_hi_GPEET_mid","Tb927.7.2020"
"Tb927.1.2110",2.43897191195439e-15,0.568507539783042,0.265,0.193,2.09483297517763e-11,"RHS_EP_hi_GPEET_mid","Tb927.1.2110"
"Tb927.11.3990",4.39107196567717e-15,0.662349730092953,0.141,0.086,3.77149171132012e-11,"RHS_EP_hi_GPEET_mid","Tb927.11.3990"
"Tb927.7.2040",3.22109423476184e-13,0.814294782577543,0.097,0.056,2.76659783823694e-09,"RHS_EP_hi_GPEET_mid","Tb927.7.2040"
"Tb11.0820",9.09915851221571e-13,0.989325437595097,0.064,0.032,7.81526724614208e-09,"RHS_EP_hi_GPEET_mid","Tb11.0820"
"Tb927.2.1100",2.96218322598128e-12,0.640317608439938,0.113,0.069,2.54421917279533e-08,"RHS_EP_hi_GPEET_mid","Tb927.2.1100"
"Tb11.v5.0641",6.05502278827644e-12,1.11664487155255,0.055,0.027,5.20065907285063e-08,"RHS_EP_hi_GPEET_mid","Tb11.v5.0641"
"Tb11.v5.06711",1.36863810187699e-11,0.519322096178687,0.192,0.137,1.17552326570215e-07,"RHS_EP_hi_GPEET_mid","Tb11.v5.0671"
"Tb927.4.160",7.83921696531861e-11,0.536713551633266,0.151,0.103,6.73310345151215e-07,"RHS_EP_hi_GPEET_mid","Tb927.4.160"
"Tb11.v5.0442",8.46453621952973e-11,0.553445384304738,0.178,0.127,7.27019015895409e-07,"RHS_EP_hi_GPEET_mid","Tb11.v5.0442"
"Tb927.4.260",1.68405028550854e-10,0.7074867690702,0.098,0.061,1.44643079022329e-06,"RHS_EP_hi_GPEET_mid","Tb927.4.260"
"Tb927.8.5780",1.03421059665277e-09,0.5895504674668,0.109,0.071,8.8828348146506e-06,"RHS_EP_hi_GPEET_mid","Tb927.8.5780"
"Tb927.5.3130",7.43166459603344e-09,0.564415774051552,0.12,0.082,6.38305672153312e-05,"RHS_EP_hi_GPEET_mid","Tb927.5.3130"
"Tb927.10.970",7.5106453974883e-09,0.501834770389354,0.123,0.084,6.4508933319027e-05,"RHS_EP_hi_GPEET_mid","Tb927.10.970"
"Tb927.8.6570",2.27006028835689e-08,0.522512480447336,0.133,0.094,0.000194975478166973,"RHS_EP_hi_GPEET_mid","Tb927.8.6570"
"Tb927.2.950",3.06775504704488e-08,0.725957965395769,0.065,0.039,0.000263489480990685,"RHS_EP_hi_GPEET_mid","Tb927.2.950"
"Tb927.6.5190",7.09717957596523e-07,0.721574826710341,0.055,0.033,0.00609576753779654,"RHS_EP_hi_GPEET_mid","Tb927.6.5190"
"Tb927.11.5900",4.46897196369384e-06,0.505543522435443,0.082,0.056,0.0383840001961664,"RHS_EP_hi_GPEET_mid","Tb927.11.5900"
"Tb927.10.10590",2.42936765803071e-287,2.12467917370791,0.484,0.143,2.08658388148258e-283,"histone_EP_hi_GPEET_mid","Tb927.10.10590"
"Tb927.11.16400",9.35603416063222e-213,1.67696921258445,0.507,0.195,8.03589774056702e-209,"histone_EP_hi_GPEET_mid","Tb927.11.16400"
"Tb927.11.1860",4.56039688255122e-199,1.51623285164916,0.577,0.269,3.91692488242324e-195,"histone_EP_hi_GPEET_mid","Tb927.11.1860"
"Tb927.5.4180",1.41436082050827e-184,2.08200251780617,0.346,0.103,1.21479450873456e-180,"histone_EP_hi_GPEET_mid","Tb927.5.4180"
"Tb8.NT.11",6.88263979756116e-183,0.95052224741922,0.829,0.599,5.91149932212528e-179,"histone_EP_hi_GPEET_mid","Tb8.NT.11"
"Tb927.10.8980",5.94170594234273e-154,1.6036709681795,0.435,0.179,5.10333123387817e-150,"histone_EP_hi_GPEET_mid","Tb927.10.8980"
"Tb927.10.10580",3.58133944258868e-143,2.32755974573505,0.209,0.046,3.07601244723942e-139,"histone_EP_hi_GPEET_mid","Tb927.10.10580"
"Tb927.11.1800",2.78543737503315e-139,2.07098038473467,0.259,0.073,2.39241216141598e-135,"histone_EP_hi_GPEET_mid","Tb927.11.1800"
"Tb927.11.7350",1.30891994186022e-138,1.16902490885086,0.596,0.343,1.12423133806374e-134,"histone_EP_hi_GPEET_mid","Tb927.11.7350"
"Tb927.11.1880",5.62923269644193e-109,1.9196798493288,0.226,0.068,4.83494796297397e-105,"histone_EP_hi_GPEET_mid","Tb927.11.1880"
"Tb927.9.1340",2.65001729109429e-107,1.49181392803721,0.324,0.13,2.27609985132089e-103,"histone_EP_hi_GPEET_mid","Tb927.9.1340"
"Tb927.6.3180",1.23695276764652e-102,1.12638261699525,0.535,0.321,1.0624187321316e-98,"histone_EP_hi_GPEET_mid","Tb927.6.3180"
"Tb927.9.14290",9.00978123111636e-97,1.48629275165408,0.297,0.119,7.73850109940584e-93,"histone_EP_hi_GPEET_mid","Tb927.9.14290"
"Tb927.11.3250",1.83642808368865e-93,0.759383077032326,0.697,0.487,1.57730808108018e-89,"histone_EP_hi_GPEET_mid","Tb927.11.3250"
"Tb927.9.9810",2.37614069981633e-92,1.27528381012411,0.379,0.183,2.04086724707224e-88,"histone_EP_hi_GPEET_mid","Tb927.9.9810"
"Tb927.3.2050",1.43020742291028e-89,1.20603292388292,0.383,0.188,1.22840515553764e-85,"histone_EP_hi_GPEET_mid","Tb927.3.2050"
"Tb927.10.8330",6.33644082473488e-88,1.62100447069735,0.233,0.083,5.44236902436479e-84,"histone_EP_hi_GPEET_mid","Tb927.10.8330"
"Tb927.11.1030",6.63099675661715e-86,1.11919998074566,0.431,0.23,5.69536311425847e-82,"histone_EP_hi_GPEET_mid","Tb927.11.1030"
"Tb927.11.7600",4.9653890347189e-83,1.00481534600757,0.48,0.28,4.26477264192007e-79,"histone_EP_hi_GPEET_mid","Tb927.11.7600"
"Tb927.7.2920",1.39479385059954e-81,2.41764125436403,0.121,0.026,1.19798843827994e-77,"histone_EP_hi_GPEET_mid","Tb927.7.2920"
"Tb927.11.14840",6.08068844086605e-81,1.24560296669823,0.37,0.192,5.22270330185985e-77,"histone_EP_hi_GPEET_mid","Tb927.11.14840"
"Tb927.11.6550",1.20321980051336e-75,1.03996684072135,0.466,0.279,1.03344548666092e-71,"histone_EP_hi_GPEET_mid","Tb927.11.6550"
"Tb927.10.8970",5.36135468016108e-68,1.37254836845972,0.235,0.098,4.60486753479035e-64,"histone_EP_hi_GPEET_mid","Tb927.10.8970"
"Tb927.10.2190",1.48564760993588e-67,0.907580266296756,0.461,0.28,1.27602273217393e-63,"histone_EP_hi_GPEET_mid","Tb927.10.2190"
"Tb927.8.1680",3.55380571925699e-65,1.27639262510008,0.263,0.12,3.05236373226983e-61,"histone_EP_hi_GPEET_mid","Tb927.8.1680"
"Tb927.10.890",5.28729965417068e-62,1.03124231625596,0.332,0.173,4.54126167296719e-58,"histone_EP_hi_GPEET_mid","Tb927.10.890"
"Tb927.5.1550",3.92563727392742e-57,0.957350287227321,0.309,0.159,3.37172985457626e-53,"histone_EP_hi_GPEET_mid","Tb927.5.1550"
"Tb927.7.6360",1.00735362795871e-56,1.00514150796445,0.332,0.181,8.65216031053732e-53,"histone_EP_hi_GPEET_mid","Tb927.7.6360"
"Tb927.11.4180",3.77924441037667e-53,1.04199860514462,0.298,0.157,3.24599302407252e-49,"histone_EP_hi_GPEET_mid","Tb927.11.4180"
"Tb927.3.5370",2.51333773416163e-51,0.942368675029253,0.354,0.207,2.15870577987143e-47,"histone_EP_hi_GPEET_mid","Tb927.3.5370"
"Tb927.6.2850",2.09198764643912e-46,0.721105704680907,0.477,0.324,1.79680818952656e-42,"histone_EP_hi_GPEET_mid","Tb927.6.2850"
"Tb927.11.15800",3.39578424771897e-45,1.03417947606836,0.26,0.138,2.91663909036582e-41,"histone_EP_hi_GPEET_mid","Tb927.11.15800"
"Tb927.10.8890",2.11499446793083e-44,0.721530931855132,0.447,0.302,1.81656874850579e-40,"histone_EP_hi_GPEET_mid","Tb927.10.8890"
"Tb927.9.5190",4.94021277621702e-44,1.07494089624262,0.254,0.135,4.2431487534928e-40,"histone_EP_hi_GPEET_mid","Tb927.9.5190"
"Tb927.10.880",1.56554305589662e-38,0.734688604211435,0.364,0.232,1.34464493070961e-34,"histone_EP_hi_GPEET_mid","Tb927.10.880"
"Tb927.10.8950",2.97510520650623e-38,1.32319473021185,0.142,0.06,2.5553178618682e-34,"histone_EP_hi_GPEET_mid","Tb927.10.8950"
"Tb927.11.1340",1.46337155960218e-36,0.781467820199726,0.274,0.156,1.25688983254231e-32,"histone_EP_hi_GPEET_mid","Tb927.11.1340"
"Tb927.7.610",2.85735520457132e-35,0.86392951280789,0.277,0.164,2.45418238520631e-31,"histone_EP_hi_GPEET_mid","Tb927.7.610"
"Tb927.11.890",3.75252637149651e-35,0.908795593001296,0.317,0.202,3.22304490047836e-31,"histone_EP_hi_GPEET_mid","Tb927.11.890"
"Tb927.11.13500",3.53358440173707e-34,0.561910281981715,0.532,0.401,3.03499564265197e-30,"histone_EP_hi_GPEET_mid","Tb927.11.13500"
"Tb927.3.3490",1.00640895549317e-33,0.655623501165647,0.379,0.252,8.64404651873083e-30,"histone_EP_hi_GPEET_mid","Tb927.3.3490"
"Tb927.11.6210",1.32765588016604e-32,0.518821131658002,0.552,0.418,1.14032363547461e-28,"histone_EP_hi_GPEET_mid","Tb927.11.6210"
"Tb927.11.11920",5.1386988527069e-32,1.21198080215128,0.132,0.059,4.41362844458995e-28,"histone_EP_hi_GPEET_mid","Tb927.11.11920"
"Tb927.11.5340",6.10935427739671e-32,0.995641254761094,0.172,0.086,5.24732438885604e-28,"histone_EP_hi_GPEET_mid","Tb927.11.5340"
"Tb927.8.710",4.80126035808754e-31,0.595401151794008,0.455,0.334,4.12380252156139e-27,"histone_EP_hi_GPEET_mid","Tb927.8.710"
"Tb927.10.12920",6.15502848589627e-31,0.908784806522717,0.217,0.122,5.2865539665363e-27,"histone_EP_hi_GPEET_mid","Tb927.10.12920"
"Tb927.11.6560",4.98879129488892e-29,0.971577792923557,0.2,0.112,4.28487284318009e-25,"histone_EP_hi_GPEET_mid","Tb927.11.6560"
"Tb927.8.7080",3.45280009644002e-28,0.755511858107028,0.244,0.146,2.96561000283233e-24,"histone_EP_hi_GPEET_mid","Tb927.8.7080"
"Tb927.10.9730",7.52620691424396e-28,1.06417544104982,0.165,0.086,6.46425911864414e-24,"histone_EP_hi_GPEET_mid","Tb927.10.9730"
"Tb927.11.12410",1.75286171983025e-27,0.506760139699993,0.507,0.389,1.5055329311622e-23,"histone_EP_hi_GPEET_mid","Tb927.11.12410"
"Tb927.2.6100",3.41971537494794e-27,0.515686122611758,0.482,0.364,2.93719353554279e-23,"histone_EP_hi_GPEET_mid","Tb927.2.6100"
"Tb927.8.4580",9.93699800513289e-27,0.549878485961262,0.397,0.281,8.53488758660864e-23,"histone_EP_hi_GPEET_mid","Tb927.8.4580"
"Tb927.3.870",2.57385609805031e-26,0.884307790145348,0.207,0.12,2.21068500261541e-22,"histone_EP_hi_GPEET_mid","Tb927.3.870"
"Tb927.10.3640",2.7077230668524e-26,0.582605634222041,0.397,0.289,2.32566334211953e-22,"histone_EP_hi_GPEET_mid","Tb927.10.3640"
"Tb927.11.2700",2.83644560990327e-26,1.0747985663536,0.14,0.07,2.43622313434592e-22,"histone_EP_hi_GPEET_mid","Tb927.11.2700"
"Tb927.9.3650",4.40535382694352e-26,0.794506889680997,0.228,0.137,3.78375840196179e-22,"histone_EP_hi_GPEET_mid","Tb927.9.3650"
"Tb927.11.7840",4.74143466535696e-26,0.599578880548296,0.361,0.252,4.07241823407509e-22,"histone_EP_hi_GPEET_mid","Tb927.11.7840"
"Tb927.7.6310",4.6463448944905e-25,0.557667331234984,0.424,0.317,3.99074562987789e-21,"histone_EP_hi_GPEET_mid","Tb927.7.6310"
"Tb927.11.1150",4.59439569658006e-24,0.685541848589153,0.317,0.22,3.94612646379262e-20,"histone_EP_hi_GPEET_mid","Tb927.11.1150"
"Tb927.9.2030",6.71171984561637e-24,1.13494914809633,0.109,0.05,5.7646961753999e-20,"histone_EP_hi_GPEET_mid","Tb927.9.2030"
"Tb927.11.5000",1.23652434316234e-23,0.500435773939021,0.449,0.338,1.06205075834213e-19,"histone_EP_hi_GPEET_mid","Tb927.11.5000"
"Tb927.11.13020",2.91926952105356e-23,0.621869713198062,0.322,0.223,2.50736059163291e-19,"histone_EP_hi_GPEET_mid","Tb927.11.13020"
"Tb927.11.9100",3.04224314502205e-23,0.748072476179544,0.214,0.129,2.61298263725944e-19,"histone_EP_hi_GPEET_mid","Tb927.11.9100"
"Tb927.10.16070",4.25736794588015e-23,1.11911420379015,0.118,0.058,3.65665332871646e-19,"histone_EP_hi_GPEET_mid","Tb927.10.16070"
"Tb927.3.4290",5.29244136767035e-23,0.758366937671066,0.242,0.154,4.54567789069207e-19,"histone_EP_hi_GPEET_mid","Tb927.3.4290"
"Tb927.10.10610",7.20119774905063e-23,0.581002171153531,0.321,0.222,6.18510874665959e-19,"histone_EP_hi_GPEET_mid","Tb927.10.10610"
"Tb927.9.13110",8.04637180447018e-23,0.760796492962151,0.202,0.121,6.91102874285943e-19,"histone_EP_hi_GPEET_mid","Tb927.9.13110"
"Tb11.v5.0745",9.8018136258941e-23,0.702504932732446,0.277,0.185,8.41877772328044e-19,"histone_EP_hi_GPEET_mid","Tb11.v5.0745"
"Tb927.3.5220",1.41903205043739e-22,0.607632906923026,0.259,0.167,1.21880662812067e-18,"histone_EP_hi_GPEET_mid","Tb927.3.5220"
"Tb927.3.950",2.89854435347962e-22,0.812896165391774,0.165,0.092,2.48955974520365e-18,"histone_EP_hi_GPEET_mid","Tb927.3.950"
"Tb927.11.16720",4.19150734208885e-22,0.555438332670544,0.377,0.278,3.60008565612012e-18,"histone_EP_hi_GPEET_mid","Tb927.11.16720"
"Tb927.10.11340",1.32070962362361e-20,0.539918792129541,0.36,0.265,1.13435749573032e-16,"histone_EP_hi_GPEET_mid","Tb927.10.11340"
"Tb927.9.13785",2.98932212916748e-20,0.527317459991714,0.374,0.279,2.56752877674195e-16,"histone_EP_hi_GPEET_mid","Tb927.9.13785"
"Tb927.10.4990",3.61742851080636e-20,0.939856546358627,0.136,0.075,3.10700934793158e-16,"histone_EP_hi_GPEET_mid","Tb927.10.4990"
"Tb927.11.1090",7.50529323107538e-20,0.602991630149707,0.268,0.181,6.44629635617065e-16,"histone_EP_hi_GPEET_mid","Tb927.11.1090"
"Tb927.10.11250",1.35838951053042e-19,0.522096985721507,0.335,0.244,1.16672075059458e-15,"histone_EP_hi_GPEET_mid","Tb927.10.11250"
"Tb927.8.6370",8.02057995295419e-19,0.572435166234908,0.275,0.191,6.88887612159236e-15,"histone_EP_hi_GPEET_mid","Tb927.8.6370"
"Tb927.3.2020",9.18534876852802e-19,0.901335439182846,0.136,0.077,7.88929605728872e-15,"histone_EP_hi_GPEET_mid","Tb927.3.2020"
